ברקוד,מותג,יצרן,שם מוצר,מועד עדכון ברקודים,סטאטוס סימון
5427565,סנו,סנו,"כיף שמפו / קונדישנר 750 מ""ל",ברקודים חדשים,
6453594,פרי גליל,טל-14,שקשוקה 300X2ג טל,ברקודים חדשים,מסמן על רב המוצרים
8493819,מאיר בייגל,מאיר בייגל,מארז בייגלה שטוחלה במגוון טעמים מאיר בייגל (60x24 גרם),ברקודים חדשים,מסמן בפועל
8792264,שניב,שניב,מפיות טאצ' 100 לבן,ברקודים חדשים,
8792714,שניב,שניב,טואלט מותג 48,ברקודים חדשים,
8792776,שניב,שניב,מפיות מותג 50,ברקודים חדשים,
8792783,שניב,שניב,מפיות מותג 100,ברקודים חדשים,
9955217,PL אוסטיב עוף טוב,שופרסל,"סלמי קוניאק שופרסל ק""ג",ברקודים חדשים,
9955231,PL אוסטיב עוף טוב,שופרסל,"סלמי איטלקי שופרסל ק""ג",ברקודים חדשים,
9955255,PL אוסטיב עוף טוב,שופרסל,חזה הודו דבש נתח שלם שופ,ברקודים חדשים,
9955262,PL אוסטיב עוף טוב,שופרסל,חזה הודו ברביקיו נתח שלם,ברקודים חדשים,
9955293,PL אוסטיב עוף טוב,שופרסל,פסטרמה בדבש שופרסל קג,ברקודים חדשים,
9955705,PL אוסטיב עוף טוב,שופרסל,כתף בקר שופרסל לקג,ברקודים חדשים,
11115401,סנו,סנו,נקה 7 סבון מוצק 100 גר' - רביעייה,ברקודים חדשים,
14890077,משק יעקבס,משק יעקבס,7290014890077  ריקוטה 0.400גרם,ברקודים חדשים,מסמן על אריזות
14890145,משק יעקבס,משק יעקבס,7290014890145  שמנת טבעית 225 גרם -חדש,ברקודים חדשים,
14890152,משק יעקבס,משק יעקבס,7290014890152 שמנת זיתים 225 גרם -חדש,ברקודים חדשים,מסמן על אריזות
14890169,משק יעקבס,משק יעקבס,7290014890169 שמנת שום שמיר 225 גרם -חדש,ברקודים חדשים,מסמן על אריזות
14890237,משק יעקבס,משק יעקבס,7290014890237 קממברט בייבי  125 גרם -מדף(,ברקודים חדשים,מסמן על אריזות
72909768,שטראוס,ממתקים - נצרת,"פ""ז PLAY 4/18יח/40ג",ברקודים חדשים,
72917329,שטראוס,ממתקים - נצרת,אגוזי 28 חטיף 45 גרם,ברקודים חדשים,
72917367,שטראוס,ממתקים - נצרת,טעמי 28 חטיף 40 גר',ברקודים חדשים,
72917589,שטראוס,ממתקים - נצרת,מקופלת/24חטיף/25גר',ברקודים חדשים,
72917688,שטראוס,ממתקים - נצרת,אגוזי מגדים 28 חטיף 45 גרם,ברקודים חדשים,
72917893,שטראוס,ממתקים - נצרת,"פ""ז חלב/24חטיף/45ג",ברקודים חדשים,
72918104,שטראוס,ממתקים - נצרת,טעמי מגדים 28 חטיף 40 גר',ברקודים חדשים,
72918388,שטראוס,ממתקים - נצרת,טוויסט/32חטיף/28גר',ברקודים חדשים,
72940754,שטראוס,מחלבה,מילקי בטעם וניל,ברקודים חדשים,
72940761,שטראוס,מחלבה,מילקי בטעם שוקולד,ברקודים חדשים,
72940952,שטראוס,מחלבה,מילקי אקסטרה קצפת,ברקודים חדשים,
72940976,שטראוס,אחלה,כרוב אדום 250 גרם,ברקודים חדשים,כן
72940983,שטראוס,אחלה,חומוס אחלה 250,ברקודים חדשים,כן
72941041,שטראוס,מחלבה,מיני מילקי בטעם שוקולד,ברקודים חדשים,
72961209,תנובה,תנובה,שמנית 15% 200מל בדצ,ברקודים חדשים,
72961216,תנובה,תנובה,אשל 4.5% 200מל  בדצ,ברקודים חדשים,
72961223,תנובה,תנובה,גיל 3% 200מל בדצ,ברקודים חדשים,
72961247,תנובה,תנובה,גיל גביע 125 מל %3,ברקודים חדשים,
72963104,תנובה,תנובה,חמאה מפוסטרת חבילה 100 גרם,ברקודים חדשים,
72963128,תנובה,תנובה,חמאה מפוסטרת חבילה 100 בדצ,ברקודים חדשים,
72963746,תנובה,תנובה,שמנת 15% 200מל,ברקודים חדשים,
72963753,תנובה,תנובה,שמנת אורגינל של פעם 27% 200מל,ברקודים חדשים,
72982457,שטראוס,מחלבה,מילקי קל בטעם שוקולד,ברקודים חדשים,
72983225,שטראוס,מחלבה,מילקי הפוך,ברקודים חדשים,
72991008,שטראוס,ממתקים - נצרת,"פ""ז קלסיק מגדים/24חט./45גר",ברקודים חדשים,
72992357,שטראוס,ממתקים - נצרת,"פ""ז ביג בייט 52 גרם/18יח/52גר'",ברקודים חדשים,
72993637,שטראוס,מחלבה,דני שוקולד,ברקודים חדשים,
72993637,שטראוס,מחלבה,מעדן שוקולד יעודי,ברקודים חדשים,
72993767,שטראוס,ממתקים - נצרת,"פ""ז רול חלב אגוזים",ברקודים חדשים,
72993781,שטראוס,ממתקים - נצרת,פסק זמן רול לבן,ברקודים חדשים,
72994221,שטראוס,ממתקים - נצרת,פסק זמן גלילית אגוזים מגדים 40ג,ברקודים חדשים,
013495113506,יוניליוור,קליק,קליק ביסקויט 75ג,ברקודים חדשים,מסמן בפועל
13495113513,יוניליוור,קליק,קליק כדורים חלב 75 גר,ברקודים חדשים,מסמן בפועל
13495113520,יוניליוור,קליק,קליק קורנפלקס 75 גר,ברקודים חדשים,מסמן בפועל
13495113537,יוניליוור,קליק,קליק חום לבן 75 גר,ברקודים חדשים,מסמן בפועל
013495113551,יוניליוור,קליק,קליק עוגי חדש 75 גר,ברקודים חדשים,מסמן בפועל
013495113582,יוניליוור,קליק,קליק כריות 75 גר,ברקודים חדשים,מסמן בפועל
29424001509,מנעמים,מנעמים,ופל מצופית אגוז 400 גר,ברקודים חדשים,מסמן על אריזות
85678500017,חצר כנרת,חצר כנרת,"מלית תמרים בגביע 450 גרם - כשל""פ",ברקודים חדשים,מסמן בפועל
96086000546,מצות אביב,200 גרם,עוגיות גרנולה אורגניות מקמח כוסמין,ברקודים חדשים,מסמן בפועל
96086000553,מצות אביב,400 גרם,פתי בר אורגני,ברקודים חדשים,מסמן בפועל
96086000560,מצות אביב,200,קרקר חמישה דגנים אורגני,ברקודים חדשים,מסמן בפועל
96086000577,מצות אביב,גרם,קרקר כוסמין אורגני,ברקודים חדשים,מסמן בפועל
96086000584,מצות אביב,200,קרקר שיפון אורגני,ברקודים חדשים,מסמן בפועל
96086000607,מצות אביב,200 גרם,פתי בר אורגני,ברקודים חדשים,מסמן בפועל
96086000621,מצות אביב,180 גרם,ביס ביס – ביסקוויט לתינוקות,ברקודים חדשים,מסמן בפועל
96086000676,מצות אביב,200 גרם,עוגיות קלות ללא סוכר מקמח כוסמן וצ'יה,ברקודים חדשים,מסמן בפועל
96086000966,מצות אביב,200 גרם,קרקר כוסמין מלא ושומשום,ברקודים חדשים,מסמן בפועל
96086001512,מצות אביב,200 גרם,עוגיות קלות אביבה ללא סוכר בטעם לימון,ברקודים חדשים,מסמן בפועל
